Doc. No. (GL View),Posting date,Item Text,G/L Account,,Fund,Cost Center,,WBS Element,,Internal Order,,"Funds
Received",Fund Consumed
6400097592,05.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400097597,05.03.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,227.91
6400097597,05.03.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.06
6400097597,05.03.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.78
6400097597,05.03.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.42
6400097597,05.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.20
6400102745,19.03.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,440.76
6400102745,19.03.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,5.91
6400102745,19.03.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,47.91
6400102745,19.03.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.02
6400102745,19.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.29
6400103212,19.03.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,227.94
6400103212,19.03.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.06
6400103212,19.03.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.78
6400103212,19.03.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.42
6400103212,19.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.20
6400104860,19.03.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,881.52
6400104860,19.03.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,11.82
6400104860,19.03.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,95.82
6400104860,19.03.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,48.04
6400104860,19.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.58
6400105717,02.04.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,881.48
6400105717,02.04.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,11.81
6400105717,02.04.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,95.81
6400105717,02.04.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,48.03
6400105717,02.04.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.58
6400106185,02.04.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,569.85
6400106185,02.04.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,7.65
6400106185,02.04.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,61.95
6400106185,02.04.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,31.05
6400106185,02.04.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.00
6400107631,16.04.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,440.73
6400107631,16.04.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,5.91
6400107631,16.04.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,47.91
6400107631,16.04.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.03
6400107631,16.04.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.28
6400109648,30.04.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,366.56
6400109648,30.04.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.92
